"Date: 2024-11-10+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"Personal","Dailies","Find a theme like nord but bluer/lighter","TEXT","Progress","","N","2024-06-14T22:00:00+0000","2024-06-14T22:00:00+0000","","","0","2","2024-06-10T14:56:17+0000","2024-06-15T23:16:54+0000","-3145729","Europe/Warsaw","true","false",,,"list","79",""
"Personal","Dailies","Move Obsidian stuff out of icloud (sync)","TEXT","","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-07T20:30:15+0000","2024-06-09T21:07:33+0000","-2097153","Europe/Warsaw","true","false",,,"list","80",""
"Personal","Dailies","Move things over to TT","TEXT","Sprints, misc","","N","2024-06-04T22:00:00+0000","2024-06-04T22:00:00+0000","","","0","2","2024-06-03T20:58:35+0000","2024-06-06T10:00:49+0000","-1048577","Europe/Warsaw","true","false",,,"list","81",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-07T14:00:00+0000","2024-06-07T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-07T15:46:17+0000","-1","Europe/Berlin","false","false",,,"list","82",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-06T14:00:00+0000","2024-06-06T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-06T10:00:38+0000","-1","Europe/Berlin","false","false",,,"list","83",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-05T14:00:00+0000","2024-06-05T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-05T13:40:36+0000","-1","Europe/Berlin","false","false",,,"list","84",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-04T14:00:00+0000","2024-06-04T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-05T04:23:17+0000","-1","Europe/Berlin","false","false",,,"list","85",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-03T14:00:00+0000","2024-06-03T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-03T20:52:40+0000","-1","Europe/Berlin","false","false",,,"list","86",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-02T14:00:00+0000","2024-06-02T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-03T09:55:05+0000","-1","Europe/Berlin","false","false",,,"list","87",""
"Personal","Dailies","Look through each page in notebook and sum up any questions","TEXT","","","N","2024-06-01T14:00:00+0000","2024-06-01T14:00:00+0000","PT0S","","0","2","2024-05-31T21:03:26+0000","2024-06-01T19:11:58+0000","-1","Europe/Berlin","false","false",,,"list","88",""
"Copernic","Development","Review Nic's contracts & contract notes","TEXT","Contracts, Copernic","","N","2024-07-15T08:00:00+0000","2024-07-15T08:00:00+0000","PT0S","","5","-1","2024-07-01T18:28:37+0000","2024-07-15T09:33:15+0000","-3145729","Europe/Vienna","false","false",,,"list","89",""
"Copernic","Development","Check custom pages for ghost, FAQ widget/component","TEXT","Ghost, Copernic, Content","","N","2024-07-01T22:00:00+0000","2024-07-01T22:00:00+0000","","","0","2","2024-07-01T18:14:19+0000","2024-07-04T06:21:49+0000","-2097153","Europe/Vienna","true","false",,,"list","90",""
"Copernic","Development","Set up Ghost","TEXT","","","N","","","","","0","2","2024-06-27T08:24:28+0000","2024-07-01T05:12:41+0000","-1048577","Europe/Warsaw","false","false",,,"list","91",""
"Copernic","Development","Set up a confluence space for documentation on code changed","TEXT","Confluence, Copernic","","N","2024-08-05T16:00:00+0000","2024-08-05T16:00:00+0000","-P0DT2H0M0S","","0","2","2024-06-17T17:09:55+0000","2024-08-13T05:10:17+0000","-1","Australia/Perth","true","false",,,"list","92",""
"Copernic","Business Ops","Development log 1","TEXT","","","N","","","","","0","2","2024-07-08T14:49:44+0000","2024-07-18T12:40:39+0000","-12648449","Europe/Warsaw","false","false",,,"list","93",""
"Copernic","Business Ops","Invoices for Copernic (laptop separate)","TEXT","Finances, Copernic","","N","2024-07-05T15:00:00+0000","2024-07-05T15:00:00+0000","PT0S","","0","2","2024-07-04T11:44:33+0000","2024-07-06T13:17:14+0000","-11599873","Europe/Warsaw","false","false",,,"list","94",""
"Copernic","Business Ops","Respond to Chol's email","TEXT","Copernic","","N","2024-07-01T18:45:00+0000","2024-07-01T18:45:00+0000","PT0S","","0","2","2024-07-01T16:20:34+0000","2024-07-02T14:04:29+0000","-10551297","Europe/Berlin","false","false",,,"list","95",""
"Copernic","Business Ops","Sort out new laptop","TEXT","Progress, Copernic","","N","2024-07-15T07:30:00+0000","2024-07-15T07:30:00+0000","PT0S","","0","2","2024-07-01T05:12:38+0000","2024-07-18T12:40:40+0000","-10485761","Europe/Berlin","false","false",,,"list","96",""
"Copernic","Business Ops","Initialise ghost website","TEXT","Copernic","","N","2024-06-26T22:00:00+0000","2024-06-26T22:00:00+0000","","","0","2","2024-06-27T08:32:22+0000","2024-06-27T08:32:24+0000","-9437185","Europe/Warsaw","true","false",,,"list","97",""
"Copernic","Business Ops","Reply to Chol's email","TEXT","","","N","2024-06-27T12:00:00+0000","2024-06-27T12:00:00+0000","PT0S","","0","2","2024-06-27T08:26:14+0000","2024-06-27T15:37:56+0000","-8388609","Europe/Warsaw","false","false",,,"list","98",""
"Copernic","Business Ops","Respond to the email for Odenn","TEXT","Contracts, Copernic","","N","2024-06-24T18:00:00+0000","2024-06-24T18:00:00+0000","PT0S","","0","2","2024-06-24T16:58:00+0000","2024-06-24T21:05:25+0000","-7340033","Europe/Warsaw","false","false",,,"list","99",""
"Copernic","Business Ops","Book accomodation","TEXT","","","N","2024-06-24T14:00:00+0000","2024-06-24T14:00:00+0000","PT0S","","0","2","2024-06-24T07:05:53+0000","2024-06-24T21:05:23+0000","-6291457","Europe/Warsaw","false","false",,,"list","100",""
